genome_ID	N50	source	technlogy	NCBI_ID	NCBI_name	name	contact	Other	copy number	OTU	novelty_category	description
Sample22_241	3110	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_241	tuesparholt@gmail.com	Circular element	52	2	=	circular elements
Sample22_252	2980	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_252	tuesparholt@gmail.com	plasmid	140	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_264	2848	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_264	tuesparholt@gmail.com	plasmid	173	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_283	2721	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_283	tuesparholt@gmail.com	plasmid	177	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_30	9127	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_30	tuesparholt@gmail.com	plasmid	183	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_305	2583	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_305	tuesparholt@gmail.com	plasmid	55	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_306	2540	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_306	tuesparholt@gmail.com	Circular element	17	2	=	circular elements
Sample22_34	8730	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_34	tuesparholt@gmail.com	Circular element	47	2	=	circular elements
Sample22_373	2159	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_373	tuesparholt@gmail.com	Circular element	199	2	=	circular elements
Sample22_397	2010	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_397	tuesparholt@gmail.com	plasmid	186	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_40	7855	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_40	tuesparholt@gmail.com	Circular element	12	2	=	circular elements
Sample22_404	2003	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_404	tuesparholt@gmail.com	plasmid	13	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_408	1971	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_408	tuesparholt@gmail.com	Circular element	169	2	=	circular elements
Sample22_416	1935	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_416	tuesparholt@gmail.com	Circular element	31	2	=	circular elements
Sample22_456	1827	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_456	tuesparholt@gmail.com	Circular element	89	2	=	circular elements
Sample22_473	1751	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_473	tuesparholt@gmail.com	plasmid	148	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_478	1740	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_478	tuesparholt@gmail.com	Circular element	24	2	=	circular elements
Sample22_482	1728	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_482	tuesparholt@gmail.com	Circular element	38	2	=	circular elements
Sample22_519	1615	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_519	tuesparholt@gmail.com	Circular element	41	2	=	circular elements
Sample22_530	1572	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_530	tuesparholt@gmail.com	Circular element	18	2	=	circular elements
Sample22_561	1500	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_561	tuesparholt@gmail.com	Circular element	122	2	=	circular elements
Sample22_57	6280	rat cecum	Illumina HiSeq2000 2x100nt	10239	Viruses	Sample22_57	tuesparholt@gmail.com	Circular virus-like	147	0	-	dsDNA or ssDNA circular viral sequences (viral replication of capsid/envelope gene)
Sample22_570	1484	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_570	tuesparholt@gmail.com	plasmid	127	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_575	1475	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_575	tuesparholt@gmail.com	plasmid	63	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_596	1426	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_596	tuesparholt@gmail.com	Circular element	130	2	=	circular elements
Sample22_61	6073	rat cecum	Illumina HiSeq2000 2x100nt	10239	Viruses	Sample22_61	tuesparholt@gmail.com	Circular virus-like	200	0	-	dsDNA or ssDNA circular viral sequences (viral replication of capsid/envelope gene)
Sample22_625	1361	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_625	tuesparholt@gmail.com	plasmid	114	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_66	5948	rat cecum	Illumina HiSeq2000 2x100nt	10239	Viruses	Sample22_66	tuesparholt@gmail.com	Circular virus-like	51	0	-	dsDNA or ssDNA circular viral sequences (viral replication of capsid/envelope gene)
Sample22_700	1234	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_700	tuesparholt@gmail.com	Circular element	43	2	=	circular elements
Sample22_762	1136	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_762	tuesparholt@gmail.com	Circular element	136	2	=	circular elements
Sample22_77	5526	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_77	tuesparholt@gmail.com	Circular element	3	2	=	circular elements
Sample22_770	1124	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_770	tuesparholt@gmail.com	Circular element	70	2	=	circular elements
Sample22_823	1068	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_823	tuesparholt@gmail.com	Circular element	160	2	=	circular elements
Sample22_836	1023	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample22_836	tuesparholt@gmail.com	Circular element	103	2	=	circular elements
Sample22_87	5266	rat cecum	Illumina HiSeq2000 2x100nt	10239	Viruses	Sample22_87	tuesparholt@gmail.com	Circular virus-like	182	0	-	dsDNA or ssDNA circular viral sequences (viral replication of capsid/envelope gene)
Sample22_89	5236	rat cecum	Illumina HiSeq2000 2x100nt	10239	Viruses	Sample22_89	tuesparholt@gmail.com	Circular virus-like	175	0	-	dsDNA or ssDNA circular viral sequences (viral replication of capsid/envelope gene)
Sample22_90	5229	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample22_90	tuesparholt@gmail.com	plasmid	116	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample22_94	5154	rat cecum	Illumina HiSeq2000 2x100nt	10239	Viruses	Sample22_94	tuesparholt@gmail.com	Circular virus-like	189	0	-	dsDNA or ssDNA circular viral sequences (viral replication of capsid/envelope gene)
Sample23_101	2965	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_101	tuesparholt@gmail.com	Circular element	123	2	=	circular elements
Sample23_102	2954	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_102	tuesparholt@gmail.com	Circular element	134	2	=	circular elements
Sample23_106	2925	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_106	tuesparholt@gmail.com	plasmid	73	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_107	2951	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_107	tuesparholt@gmail.com	plasmid	44	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_111	2877	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_111	tuesparholt@gmail.com	plasmid	102	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_112	2852	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_112	tuesparholt@gmail.com	plasmid	190	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_122	2709	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_122	tuesparholt@gmail.com	plasmid	197	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_136	2606	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_136	tuesparholt@gmail.com	plasmid	53	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_138	2577	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_138	tuesparholt@gmail.com	plasmid	76	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_142	2556	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_142	tuesparholt@gmail.com	Circular element	66	2	=	circular elements
Sample23_145	2542	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_145	tuesparholt@gmail.com	plasmid	4	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_147	2537	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_147	tuesparholt@gmail.com	Circular element	78	2	=	circular elements
Sample23_148	2533	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_148	tuesparholt@gmail.com	Circular element	19	2	=	circular elements
Sample23_153	2507	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_153	tuesparholt@gmail.com	plasmid	60	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_155	2488	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_155	tuesparholt@gmail.com	Circular element	104	2	=	circular elements
Sample23_156	2480	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_156	tuesparholt@gmail.com	plasmid	124	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_167	2426	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_167	tuesparholt@gmail.com	plasmid	137	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_169	2393	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_169	tuesparholt@gmail.com	Circular element	48	2	=	circular elements
Sample23_17	5250	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_17	tuesparholt@gmail.com	plasmid	115	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_175	2317	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_175	tuesparholt@gmail.com	plasmid	181	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_176	2310	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_176	tuesparholt@gmail.com	Circular element	167	2	=	circular elements
Sample23_179	2295	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_179	tuesparholt@gmail.com	plasmid	25	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_184	2268	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_184	tuesparholt@gmail.com	plasmid	99	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_189	2217	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_189	tuesparholt@gmail.com	Circular element	93	2	=	circular elements
Sample23_194	2130	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_194	tuesparholt@gmail.com	plasmid	97	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_195	2129	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_195	tuesparholt@gmail.com	Circular element	132	2	=	circular elements
Sample23_206	2078	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_206	tuesparholt@gmail.com	Circular element	194	2	=	circular elements
Sample23_215	2012	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_215	tuesparholt@gmail.com	plasmid	126	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_22	4920	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_22	tuesparholt@gmail.com	Circular element	162	2	=	circular elements
Sample23_221	1971	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_221	tuesparholt@gmail.com	Circular element	163	2	=	circular elements
Sample23_230	1945	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_230	tuesparholt@gmail.com	plasmid	155	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_236	1930	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_236	tuesparholt@gmail.com	plasmid	101	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_242	1897	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_242	tuesparholt@gmail.com	plasmid	79	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_243	1887	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_243	tuesparholt@gmail.com	Circular element	23	2	=	circular elements
Sample23_245	1884	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_245	tuesparholt@gmail.com	Circular element	59	2	=	circular elements
Sample23_25	4866	rat cecum	Illumina HiSeq2000 2x100nt	10239	Viruses	Sample23_25	tuesparholt@gmail.com	Circular virus-like	9	0	-	dsDNA or ssDNA circular viral sequences (viral replication of capsid/envelope gene)
Sample23_253	1825	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_253	tuesparholt@gmail.com	plasmid	179	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_257	1808	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_257	tuesparholt@gmail.com	Circular element	185	2	=	circular elements
Sample23_267	1768	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_267	tuesparholt@gmail.com	Circular element	144	2	=	circular elements
Sample23_269	1758	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_269	tuesparholt@gmail.com	Circular element	54	2	=	circular elements
Sample23_271	1739	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_271	tuesparholt@gmail.com	Circular element	57	2	=	circular elements
Sample23_273	1734	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_273	tuesparholt@gmail.com	plasmid	26	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_283	1679	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_283	tuesparholt@gmail.com	plasmid	188	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_288	1666	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_288	tuesparholt@gmail.com	Circular element	84	2	=	circular elements
Sample23_291	1658	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_291	tuesparholt@gmail.com	Circular element	82	2	=	circular elements
Sample23_295	1640	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_295	tuesparholt@gmail.com	Circular element	83	2	=	circular elements
Sample23_303	1637	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_303	tuesparholt@gmail.com	Circular element	87	2	=	circular elements
Sample23_304	1620	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_304	tuesparholt@gmail.com	Circular element	27	2	=	circular elements
Sample23_307	1607	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_307	tuesparholt@gmail.com	Circular element	6	2	=	circular elements
Sample23_311	1592	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_311	tuesparholt@gmail.com	Circular element	80	2	=	circular elements
Sample23_314	1584	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_314	tuesparholt@gmail.com	Circular element	168	2	=	circular elements
Sample23_315	1584	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_315	tuesparholt@gmail.com	Circular element	138	2	=	circular elements
Sample23_316	1584	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_316	tuesparholt@gmail.com	Circular element	95	2	=	circular elements
Sample23_319	1574	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_319	tuesparholt@gmail.com	Circular element	118	2	=	circular elements
Sample23_32	4607	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_32	tuesparholt@gmail.com	plasmid	170	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_324	1559	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_324	tuesparholt@gmail.com	Circular element	129	2	=	circular elements
Sample23_325	1559	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_325	tuesparholt@gmail.com	Circular element	58	2	=	circular elements
Sample23_327	1554	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_327	tuesparholt@gmail.com	Circular element	145	2	=	circular elements
Sample23_329	1547	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_329	tuesparholt@gmail.com	Circular element	62	2	=	circular elements
Sample23_336	1537	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_336	tuesparholt@gmail.com	Circular element	157	2	=	circular elements
Sample23_339	1528	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_339	tuesparholt@gmail.com	Circular element	67	2	=	circular elements
Sample23_340	1527	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_340	tuesparholt@gmail.com	Circular element	5	2	=	circular elements
Sample23_343	1513	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_343	tuesparholt@gmail.com	Circular element	34	2	=	circular elements
Sample23_346	1509	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_346	tuesparholt@gmail.com	Circular element	153	2	=	circular elements
Sample23_349	1527	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_349	tuesparholt@gmail.com	Circular element	49	2	=	circular elements
Sample23_358	1474	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_358	tuesparholt@gmail.com	Circular element	1	2	=	circular elements
Sample23_370	1419	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_370	tuesparholt@gmail.com	plasmid	65	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_378	1401	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_378	tuesparholt@gmail.com	Circular element	164	2	=	circular elements
Sample23_387	1374	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_387	tuesparholt@gmail.com	Circular element	39	2	=	circular elements
Sample23_392	1358	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_392	tuesparholt@gmail.com	Circular element	171	2	=	circular elements
Sample23_394	1371	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_394	tuesparholt@gmail.com	Circular element	91	2	=	circular elements
Sample23_398	1326	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_398	tuesparholt@gmail.com	Circular element	143	2	=	circular elements
Sample23_4	6077	rat cecum	Illumina HiSeq2000 2x100nt	10239	Viruses	Sample23_4	tuesparholt@gmail.com	Circular virus-like	106	0	-	dsDNA or ssDNA circular viral sequences (viral replication of capsid/envelope gene)
Sample23_42	4161	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_42	tuesparholt@gmail.com	Circular element	20	2	=	circular elements
Sample23_434	1244	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_434	tuesparholt@gmail.com	Circular element	32	2	=	circular elements
Sample23_441	1267	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_441	tuesparholt@gmail.com	plasmid	85	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_443	1232	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_443	tuesparholt@gmail.com	Circular element	166	2	=	circular elements
Sample23_447	1230	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_447	tuesparholt@gmail.com	Circular element	149	2	=	circular elements
Sample23_45	4104	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_45	tuesparholt@gmail.com	plasmid	68	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_454	1220	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_454	tuesparholt@gmail.com	Circular element	131	2	=	circular elements
Sample23_455	1220	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_455	tuesparholt@gmail.com	Circular element	193	2	=	circular elements
Sample23_477	1170	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_477	tuesparholt@gmail.com	Circular element	81	2	=	circular elements
Sample23_496	1123	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_496	tuesparholt@gmail.com	Circular element	7	2	=	circular elements
Sample23_50	3991	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_50	tuesparholt@gmail.com	Circular element	156	2	=	circular elements
Sample23_512	1105	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_512	tuesparholt@gmail.com	Circular element	50	2	=	circular elements
Sample23_513	1104	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_513	tuesparholt@gmail.com	Circular element	28	2	=	circular elements
Sample23_519	1089	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_519	tuesparholt@gmail.com	Circular element	113	2	=	circular elements
Sample23_520	1088	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_520	tuesparholt@gmail.com	Circular element	40	2	=	circular elements
Sample23_532	1065	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_532	tuesparholt@gmail.com	Circular element	30	2	=	circular elements
Sample23_54	3860	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_54	tuesparholt@gmail.com	plasmid	142	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_543	1044	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_543	tuesparholt@gmail.com	Circular element	92	2	=	circular elements
Sample23_557	1020	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_557	tuesparholt@gmail.com	Circular element	196	2	=	circular elements
Sample23_58	3786	rat cecum	Illumina HiSeq2000 2x100nt	45202	unidentified plasmid	Sample23_58	tuesparholt@gmail.com	plasmid	14	1	+	plasmid sequences (plasmid replication, mobilization or stability genes)
Sample23_589	959	rat cecum	Illumina HiSeq2000 2x100nt	32644	unidentified	Sample23_589	tuesparholt@gmail.com	Circular element	96	2	=	circular elements
